Name,Father Name,Sex,Date of Birth,Passport No,Nationality,Height (cm),Weight (kg),BP (mmHg),Pulse,Eyes,Chest,Abdomen,Hernia,Varicose Veins,Skin,CNS,Respiratory System,Cardiovascular System,Liver,Spleen,Urine - Albumin,Urine - Sugar,Hemoglobin (g/dl),WBC (10^9/L),RBC (10^12/L),Hepatitis B,Hepatitis C,HIV,VDRL,TPHA,Radiology,Fitness Status
Khan,Iqbal,Male,2/12/2000,PK586145,Pakistani,174,46.2,140/90,68.4,Weak,Normal,Normal,No Hernia,Normal,Rashes,Abnormal,Clear,Normal,Normal,Enlarged,Positive,Positive,17.7,6.1,4.2,Reactive,Non-Reactive,Positive,Reactive,Reactive,Abnormal,FIT
Ahmed,Rashid,Male,1/4/1989,PK112938,Pakistani,,89.4,110/70,99.5,Weak,Abnormal,,Minor Hernia,Swollen,Rashes,Abnormal,Clear,Normal,Normal,,,Negative,17.3,6.5,5.8,Non-Reactive,Reactive,Negative,Non-Reactive,Reactive,CLEAR,FIT
Ali,Ashraf,Female,2/5/1993,PK119775,Pakistani,165.7,81.5,140/90,71.9,Normal,Abnormal,Normal,Minor Hernia,Swollen,Clear,Normal,Clear,,Normal,Enlarged,Positive,Positive,14.8,5.2,4.5,Non-Reactive,,Negative,Reactive,Reactive,CLEAR,UNFIT
Ahmed,Ashraf,Female,8/15/1985,PK619769,Pakistani,183.3,,140/90,63.6,Normal,Normal,Abnormal,Minor Hernia,Normal,Rashes,Normal,Clear,Normal,Normal,Enlarged,Negative,Negative,14.6,4.3,5.3,Non-Reactive,Non-Reactive,Negative,Reactive,Non-Reactive,Abnormal,FIT
Imran,Iqbal,Female,10/21/2002,PK409163,Pakistani,172,73.9,120/80,92.9,Weak,Abnormal,Abnormal,No Hernia,Normal,Rashes,Abnormal,Clear,Normal,Enlarged,Enlarged,Negative,Positive,17.4,5.4,4.4,Non-Reactive,Non-Reactive,Positive,Non-Reactive,Non-Reactive,Abnormal,FIT
Imran,Rauf,Female,5/1/2001,PK272669,Pakistani,175.7,81.5,,94,Normal,Abnormal,Normal,Minor Hernia,,,Abnormal,Blocked,Normal,Normal,Enlarged,Negative,Negative,16.3,7.1,5.1,Non-Reactive,Reactive,Positive,Reactive,Non-Reactive,CLEAR,UNFIT
Ali,Ashraf,Male,4/17/1997,,Pakistani,178.4,86.2,130/85,67.2,Weak,Abnormal,Normal,No Hernia,Normal,Rashes,Abnormal,Clear,Normal,,Enlarged,Positive,Positive,12.3,7.4,4.4,Reactive,Reactive,Positive,Reactive,Non-Reactive,CLEAR,FIT
Zain,Ashraf,Female,12/17/1999,PK367606,Pakistani,162.2,66.3,120/80,89.1,Normal,Normal,Abnormal,Minor Hernia,Normal,Clear,Abnormal,Blocked,Normal,Normal,Enlarged,Positive,Positive,17.7,5.7,4.9,Reactive,Reactive,Positive,,Non-Reactive,CLEAR,FIT
Ahmed,Noman,Male,7/24/2000,PK509335,Pakistani,181.3,73.2,110/70,73.4,Normal,Normal,,No Hernia,Normal,Clear,Abnormal,Blocked,Murmur,Normal,Enlarged,Positive,Positive,15.1,10,,Reactive,,Negative,Reactive,Non-Reactive,CLEAR,UNFIT
Ali,Noman,Female,,PK924893,Pakistani,186.2,93.6,110/70,93.5,Normal,Abnormal,Abnormal,No Hernia,Swollen,Rashes,Abnormal,Clear,Murmur,Enlarged,Normal,Positive,Positive,16.6,7,5.8,Reactive,Reactive,Positive,Reactive,Reactive,CLEAR,FIT
Zain,Ashraf,Male,11/10/1992,PK605298,Pakistani,158.8,56.2,140/90,83.9,Normal,Normal,Abnormal,No Hernia,Swollen,Rashes,Normal,Blocked,Normal,Normal,Normal,Positive,Negative,12.7,9.8,4.5,Reactive,Non-Reactive,,Non-Reactive,Reactive,CLEAR,FIT
Imran,Iqbal,Male,12/21/1993,PK132658,Pakistani,171.5,68.7,110/70,70.1,Normal,Normal,Abnormal,Minor Hernia,,Rashes,Abnormal,Blocked,Normal,Normal,Normal,Negative,Negative,,7.9,4.9,Non-Reactive,Non-Reactive,Negative,Non-Reactive,Reactive,Abnormal,
Imran,Noman,Male,8/9/1996,PK887991,Pakistani,162.7,,120/80,93.4,Normal,Normal,Abnormal,Minor Hernia,Normal,Rashes,Normal,Blocked,Normal,Enlarged,Enlarged,Positive,Negative,,6.6,4.5,Reactive,Reactive,Positive,Non-Reactive,Reactive,,UNFIT
Khan,Ashraf,Female,3/10/1994,PK695967,Pakistani,168.1,65.8,130/85,99.9,Normal,Normal,Normal,No Hernia,Swollen,Rashes,Normal,Clear,Normal,Enlarged,Enlarged,Negative,Negative,17.1,6.8,4.3,Non-Reactive,Reactive,Negative,Reactive,Reactive,CLEAR,FIT
Zain,Rauf,Male,11/26/1992,PK361801,Pakistani,167.2,52.8,110/70,70.2,Normal,Normal,Abnormal,No Hernia,Swollen,Clear,Abnormal,Blocked,Murmur,Enlarged,Normal,Positive,Negative,14,5.8,4.6,Non-Reactive,Non-Reactive,Positive,Non-Reactive,Reactive,Abnormal,FIT
Imran,Rashid,Female,5/8/1990,PK326152,Pakistani,186.6,89.6,120/80,88.8,Normal,,Normal,Minor Hernia,,Clear,Abnormal,Clear,Normal,Enlarged,,Negative,Negative,12.6,10.5,5.7,Reactive,Non-Reactive,Positive,Reactive,Reactive,Abnormal,FIT
Khan,Rauf,Male,4/24/1986,PK663622,Pakistani,189.1,69.4,140/90,,Weak,Normal,Abnormal,No Hernia,Normal,,Abnormal,Blocked,Normal,Enlarged,,Positive,Negative,17.7,4.5,6,Reactive,Non-Reactive,Positive,Reactive,Reactive,Abnormal,UNFIT
Zain,Iqbal,Female,5/21/2002,PK566736,Pakistani,,77.9,120/80,70,Normal,Abnormal,Abnormal,Minor Hernia,Normal,Clear,Normal,Blocked,Murmur,Normal,Normal,Positive,Negative,13.7,6.3,4.2,Reactive,Non-Reactive,Negative,Non-Reactive,Reactive,CLEAR,UNFIT
Khan,Rauf,Male,2/7/1994,PK170772,Pakistani,187.3,89.1,120/80,66.6,Normal,Abnormal,Abnormal,No Hernia,Normal,Clear,Normal,Clear,Murmur,Enlarged,Enlarged,Positive,Positive,14.5,5,5.5,,Non-Reactive,Negative,Non-Reactive,,Abnormal,FIT
Imran,Ashraf,Male,,PK547339,Pakistani,175.2,48.4,,82.8,Weak,Abnormal,,No Hernia,Normal,Clear,Abnormal,Blocked,Murmur,Normal,Normal,Negative,Negative,13,8.8,5.3,,Non-Reactive,,Non-Reactive,,CLEAR,FIT
Imran,Noman,Male,2/15/1993,PK614591,Pakistani,184.7,62.6,,76.3,Normal,Normal,Normal,No Hernia,Swollen,Rashes,Normal,Blocked,Murmur,Normal,Enlarged,Negative,Positive,13.6,8.8,4.4,Non-Reactive,Non-Reactive,Negative,Non-Reactive,Reactive,CLEAR,FIT
Khan,Rashid,Male,1/1/1998,PK864596,Pakistani,170.6,52.3,130/85,70.9,Weak,Normal,,No Hernia,Normal,Clear,Normal,Blocked,Normal,Enlarged,Normal,Negative,Negative,14.7,9.7,5.3,Reactive,Reactive,Positive,Non-Reactive,Non-Reactive,Abnormal,UNFIT
Ali,Ashraf,Female,7/4/1987,PK156571,Pakistani,156.9,65.8,140/90,71.1,Normal,Normal,Normal,Minor Hernia,Normal,Rashes,,Clear,Normal,Enlarged,Enlarged,Positive,Negative,13.5,,5,Reactive,Non-Reactive,Negative,Reactive,Non-Reactive,CLEAR,FIT
Khan,Rashid,Female,1/30/1990,PK902210,Pakistani,154.8,85.9,110/70,71.2,Weak,Abnormal,Normal,Minor Hernia,Swollen,Rashes,,Blocked,,Normal,Enlarged,Negative,Negative,15.4,4.9,4.8,Non-Reactive,Non-Reactive,Negative,,Non-Reactive,CLEAR,FIT
Zain,Rashid,Female,3/18/2003,PK479946,Pakistani,167.3,56,110/70,88,Normal,Abnormal,Normal,Minor Hernia,Swollen,Clear,Normal,Blocked,Normal,Normal,Enlarged,Positive,Negative,15.5,10,4.1,Reactive,Reactive,Positive,Non-Reactive,Non-Reactive,Abnormal,UNFIT
Zain,Noman,Female,7/19/1996,PK393097,Pakistani,156.9,81.8,140/90,92.9,Weak,Abnormal,Normal,Minor Hernia,Normal,Clear,Abnormal,Clear,Normal,Enlarged,Enlarged,Negative,Negative,16.1,5.3,5.1,Reactive,Reactive,Positive,Reactive,Reactive,Abnormal,FIT
Zain,Ashraf,Male,7/1/1999,PK732027,Pakistani,188.4,46.3,110/70,87.7,Normal,Abnormal,Normal,No Hernia,Normal,Rashes,Normal,Blocked,Murmur,Normal,Enlarged,Negative,Negative,16.8,8.5,4.1,Non-Reactive,Non-Reactive,Negative,Non-Reactive,Non-Reactive,CLEAR,FIT
Ali,Rashid,Female,3/22/2002,,Pakistani,184.9,62.4,120/80,65.6,Normal,Normal,Normal,No Hernia,Normal,Rashes,Normal,Clear,Murmur,Enlarged,Enlarged,Negative,Positive,13.2,7.4,5.9,Reactive,Non-Reactive,Negative,Non-Reactive,Reactive,Abnormal,UNFIT
Imran,Ashraf,Male,2/2/2003,PK919442,Pakistani,162.8,69.2,120/80,77.6,Normal,Abnormal,Normal,No Hernia,Swollen,Clear,Abnormal,Blocked,,Normal,Enlarged,Negative,Negative,17.1,5.5,5.5,Non-Reactive,Non-Reactive,Negative,Reactive,Reactive,CLEAR,FIT
Khan,Rauf,Male,9/24/1987,PK135849,Pakistani,158.3,68.4,130/85,78.2,Normal,Abnormal,Normal,No Hernia,Swollen,Clear,Normal,Blocked,Murmur,Enlarged,Enlarged,Positive,Negative,16.9,10.1,4.5,Reactive,Non-Reactive,Positive,Non-Reactive,,Abnormal,UNFIT
Ahmed,Rashid,Male,2/4/2000,PK156357,Pakistani,158.3,81.8,130/85,62.1,Weak,Normal,Normal,No Hernia,Normal,Clear,Abnormal,Clear,Murmur,Enlarged,Normal,,Positive,12.2,9,4.2,Reactive,Non-Reactive,,Non-Reactive,Reactive,Abnormal,FIT
Zain,Rauf,Female,12/31/1994,PK150203,Pakistani,178.5,55.7,110/70,70.7,Normal,,Abnormal,Minor Hernia,Normal,Clear,Abnormal,Clear,Murmur,Normal,Normal,Negative,Negative,13.6,10.1,5.9,Reactive,Non-Reactive,Positive,Non-Reactive,,Abnormal,FIT
Zain,Ashraf,Male,2/15/1981,PK717097,Pakistani,175.7,75.3,120/80,69.4,Weak,Abnormal,Normal,Minor Hernia,Swollen,Rashes,Abnormal,Blocked,Normal,Normal,Normal,Positive,Positive,,5.4,5.8,Reactive,Non-Reactive,Positive,Reactive,Non-Reactive,Abnormal,FIT
Khan,Iqbal,Female,3/13/1980,,Pakistani,155.8,53.4,110/70,73.3,Weak,Normal,,No Hernia,Swollen,Rashes,Normal,Blocked,Murmur,Enlarged,Enlarged,,Negative,17,9.1,5.5,Reactive,Reactive,Negative,Reactive,Reactive,Abnormal,FIT
Ahmed,Rauf,Female,2/12/1991,PK286283,Pakistani,183.7,51.1,120/80,84.7,Normal,Normal,Abnormal,Minor Hernia,Swollen,Rashes,Abnormal,Clear,Murmur,Normal,Enlarged,Positive,Positive,16.1,10.2,,Non-Reactive,Reactive,Negative,Non-Reactive,Reactive,Abnormal,FIT
Imran,Noman,Female,12/18/1995,PK874202,Pakistani,169.8,87.5,140/90,79,Normal,Abnormal,Abnormal,No Hernia,Swollen,Rashes,Normal,,Murmur,Enlarged,Normal,Negative,Positive,12.2,6.9,,,Reactive,Negative,Reactive,Non-Reactive,Abnormal,UNFIT
Ali,Noman,Male,6/23/1987,PK795516,Pakistani,153.8,74.9,140/90,90.9,Weak,Normal,Normal,No Hernia,Normal,Clear,Abnormal,Blocked,Normal,Normal,Normal,,Negative,16.1,6.1,5.2,Non-Reactive,Reactive,Negative,Reactive,Non-Reactive,Abnormal,FIT
Imran,Ashraf,Male,12/14/1999,PK995671,Pakistani,152.1,84.9,140/90,88.7,Normal,Abnormal,Normal,No Hernia,Swollen,Clear,Abnormal,Blocked,,Enlarged,Normal,,Negative,13.6,10.8,5.1,Non-Reactive,Non-Reactive,Positive,Non-Reactive,Reactive,Abnormal,FIT
Ahmed,Iqbal,Male,12/18/2002,PK198544,Pakistani,157.5,61.7,130/85,77.3,Normal,Normal,Abnormal,Minor Hernia,Swollen,Rashes,Abnormal,Clear,Murmur,Enlarged,Enlarged,Positive,Negative,12.9,6.9,5.9,Reactive,Reactive,Positive,Reactive,Non-Reactive,Abnormal,FIT
Ahmed,Rauf,Male,5/16/1989,PK753971,Pakistani,189.9,86.3,140/90,73,Normal,Abnormal,Normal,No Hernia,Swollen,Rashes,Normal,Blocked,Normal,Normal,Normal,Negative,Positive,,4.9,5.7,Non-Reactive,Reactive,Negative,Reactive,Reactive,Abnormal,UNFIT
Ahmed,Ashraf,Female,2/22/2001,PK892280,Pakistani,151.6,90.6,130/85,91.6,Weak,Abnormal,Abnormal,Minor Hernia,Swollen,Clear,Normal,Clear,Normal,Normal,Normal,Negative,Negative,13.2,8.1,5.6,Reactive,Non-Reactive,Negative,Reactive,,CLEAR,FIT
,Rauf,Male,8/23/1990,PK476270,Pakistani,188.3,68.9,120/80,67.4,Weak,Abnormal,,No Hernia,Swollen,Clear,Normal,Blocked,Murmur,Normal,Normal,Positive,Positive,14.5,9.5,4.9,,Non-Reactive,Negative,Non-Reactive,Non-Reactive,CLEAR,FIT
Imran,Ashraf,Female,4/9/1985,PK850778,Pakistani,153.5,86.9,130/85,91.2,Normal,Normal,Normal,No Hernia,Normal,Clear,Abnormal,Clear,Normal,Normal,Normal,Negative,Negative,15.4,10.8,4,Reactive,Reactive,Negative,Non-Reactive,Reactive,Abnormal,FIT
,Ashraf,Female,12/23/1986,PK659562,Pakistani,162,,130/85,74.3,Weak,Abnormal,Normal,No Hernia,Normal,Rashes,Abnormal,Blocked,,Normal,Enlarged,Positive,Negative,15,9,4.9,Non-Reactive,Non-Reactive,Positive,Non-Reactive,Non-Reactive,CLEAR,FIT
Ahmed,Ashraf,Male,8/22/1987,PK876360,Pakistani,157.2,69,140/90,69.2,Normal,Normal,Normal,No Hernia,Normal,Clear,Normal,,Murmur,Enlarged,Enlarged,Positive,Negative,,4.3,4.6,Reactive,Non-Reactive,Positive,Reactive,,CLEAR,FIT
Ali,Rauf,Female,7/19/1985,,Pakistani,187.5,60.2,120/80,72.9,Weak,Abnormal,Abnormal,No Hernia,Normal,,Abnormal,Blocked,Murmur,Normal,Enlarged,,Negative,12.5,8.3,5.3,Reactive,Non-Reactive,Negative,Non-Reactive,Reactive,Abnormal,FIT
Zain,Rashid,Female,5/4/1997,,Pakistani,155.6,57.2,140/90,75.4,Normal,Abnormal,Normal,Minor Hernia,,Rashes,Abnormal,Clear,Normal,Enlarged,Enlarged,Negative,Negative,12.7,11,4.6,Non-Reactive,Non-Reactive,Positive,Reactive,Non-Reactive,,UNFIT
Imran,Noman,Male,8/16/1981,PK783509,Pakistani,165.3,78,110/70,71.5,Weak,Abnormal,Abnormal,Minor Hernia,Normal,Clear,Abnormal,Clear,Normal,,Normal,Negative,Negative,14.7,,5.3,Reactive,Non-Reactive,,Reactive,Reactive,CLEAR,FIT
Khan,Noman,Female,4/9/1993,PK534365,Pakistani,174.8,68.9,130/85,84.1,Weak,Abnormal,Normal,Minor Hernia,Swollen,Clear,Abnormal,Clear,Murmur,Normal,Enlarged,Negative,Positive,13.1,8.9,5.6,Reactive,Non-Reactive,Positive,Non-Reactive,Reactive,Abnormal,FIT
Ali,Rashid,Male,6/27/2001,,Pakistani,153.6,81.6,140/90,69.3,Normal,Normal,Abnormal,Minor Hernia,Normal,Rashes,,Clear,Murmur,Normal,Normal,Positive,Positive,17.2,9.2,4.3,Reactive,Reactive,,Reactive,Reactive,Abnormal,FIT
Ali,Rashid,Female,9/13/1999,PK561969,Pakistani,169.7,49.9,140/90,74.6,Weak,Abnormal,Normal,Minor Hernia,Swollen,Clear,Abnormal,Blocked,Normal,Normal,Normal,Positive,Positive,,6.2,5.9,Non-Reactive,Reactive,Negative,Non-Reactive,Non-Reactive,Abnormal,FIT
Zain,Noman,Female,11/16/1997,PK595191,Pakistani,171.9,79.8,140/90,85.7,Weak,Abnormal,Normal,No Hernia,,Rashes,Normal,Clear,Normal,Normal,Enlarged,Negative,Positive,12.9,9.8,4.3,Non-Reactive,Non-Reactive,Negative,Reactive,Reactive,CLEAR,FIT
,Iqbal,Female,9/14/1997,PK727320,Pakistani,167.6,68.4,130/85,76.5,Weak,Abnormal,Normal,No Hernia,Swollen,,Normal,Clear,Murmur,Normal,Enlarged,Negative,Positive,14.7,4.6,5.7,,Non-Reactive,Negative,Reactive,Reactive,CLEAR,FIT
Khan,Iqbal,Female,9/21/1981,PK343414,Pakistani,158.4,73.9,120/80,81,Weak,Normal,Normal,Minor Hernia,,Rashes,Abnormal,Blocked,Normal,Normal,Enlarged,Positive,Negative,14.9,4.2,4.5,Non-Reactive,Reactive,Positive,Non-Reactive,Non-Reactive,CLEAR,FIT
Ahmed,Rashid,Male,12/8/1998,PK840983,Pakistani,164.9,77.3,130/85,77.5,Normal,Normal,Abnormal,Minor Hernia,Normal,Rashes,Normal,Blocked,Murmur,Normal,Enlarged,Positive,Negative,,7.9,4.5,Reactive,Non-Reactive,Positive,Reactive,Non-Reactive,Abnormal,FIT
Imran,Noman,Male,8/14/2002,PK765175,Pakistani,174.2,65.6,130/85,67.7,Weak,Abnormal,Abnormal,No Hernia,,Clear,Normal,Clear,Normal,Normal,Enlarged,Negative,Negative,16.8,9.7,4.7,Non-Reactive,Reactive,Positive,Non-Reactive,Reactive,CLEAR,FIT
,Ashraf,Female,,PK842088,Pakistani,150.8,91.6,140/90,95.4,Weak,Normal,Normal,Minor Hernia,Normal,Rashes,Normal,Blocked,Murmur,Normal,Normal,Positive,Positive,13.1,8.6,5.9,Non-Reactive,Reactive,Positive,Non-Reactive,Reactive,CLEAR,FIT
Khan,Iqbal,Male,12/13/1998,PK505567,Pakistani,155.6,89,120/80,96.4,Normal,Abnormal,Normal,No Hernia,Normal,Rashes,Abnormal,Blocked,Murmur,Enlarged,Enlarged,Negative,Positive,16.4,6.2,4.1,Reactive,Non-Reactive,Negative,Non-Reactive,Non-Reactive,,UNFIT
Zain,Iqbal,Male,5/31/1980,PK427430,Pakistani,154.8,85.4,110/70,85.9,Weak,Normal,Abnormal,Minor Hernia,Swollen,Rashes,Abnormal,Clear,Murmur,Enlarged,Enlarged,Positive,,13.4,8.6,5.2,Reactive,Non-Reactive,Positive,Non-Reactive,Non-Reactive,CLEAR,FIT
Zain,Rashid,Male,,PK417071,Pakistani,156.9,57.3,130/85,91.4,Weak,Abnormal,Normal,No Hernia,Swollen,Rashes,Normal,Blocked,Murmur,Normal,Enlarged,Negative,Negative,14.2,7.4,5.6,,Non-Reactive,Negative,Reactive,Non-Reactive,Abnormal,UNFIT
Zain,Noman,Female,7/6/1995,PK387153,Pakistani,176.2,55,130/85,91.6,Weak,Normal,Abnormal,Minor Hernia,,Clear,Abnormal,Clear,Normal,Enlarged,Normal,Positive,Positive,16.4,7.4,4.7,Non-Reactive,Non-Reactive,Positive,,Reactive,Abnormal,UNFIT
Ali,Ashraf,Male,4/4/1986,PK578822,Pakistani,165.6,61.8,130/85,82,Weak,Abnormal,Abnormal,No Hernia,Swollen,Rashes,Normal,Clear,Murmur,Enlarged,Enlarged,Positive,Positive,17.1,4.3,5.9,Reactive,,,Reactive,Reactive,CLEAR,UNFIT
Khan,,Male,9/3/1998,PK736156,Pakistani,169.8,66.8,120/80,62.4,Weak,Normal,Abnormal,Minor Hernia,Normal,Rashes,Normal,Clear,Murmur,Normal,Enlarged,Negative,Positive,17.8,5.9,5.4,Non-Reactive,Reactive,Negative,Reactive,Reactive,CLEAR,FIT
Khan,,Male,10/20/1983,PK755822,Pakistani,179.7,62.5,,97.6,Normal,Normal,Normal,Minor Hernia,Normal,Rashes,Abnormal,Clear,Normal,Normal,Enlarged,Positive,Positive,,8.9,5.4,,Non-Reactive,Negative,Non-Reactive,Reactive,CLEAR,FIT
Khan,Noman,Male,4/2/1995,PK937998,Pakistani,157,,130/85,77.1,Weak,Normal,Abnormal,,Normal,,Abnormal,Clear,Normal,Normal,Enlarged,Positive,Positive,13.3,9.3,5.2,Reactive,Reactive,Positive,,Non-Reactive,Abnormal,FIT
Khan,Iqbal,Female,6/6/1980,PK579267,Pakistani,173.4,87.3,140/90,69.6,Normal,Abnormal,Abnormal,No Hernia,Normal,Clear,Abnormal,Blocked,Murmur,Enlarged,Normal,Positive,Negative,14.8,10.6,5.7,Non-Reactive,Reactive,Positive,Reactive,Non-Reactive,CLEAR,FIT
Ali,,Female,11/25/1981,PK291091,Pakistani,,69.4,120/80,99,Normal,Normal,Abnormal,No Hernia,Normal,Clear,Normal,Blocked,Normal,Enlarged,Normal,Negative,,13.8,5,5.4,Non-Reactive,Reactive,,Reactive,Reactive,Abnormal,FIT
Khan,Rauf,Male,8/17/1983,PK297944,Pakistani,165.6,81.2,110/70,95.7,Weak,Abnormal,Normal,Minor Hernia,Swollen,Clear,Normal,Clear,,Enlarged,Enlarged,Negative,Positive,16.9,6.6,5.9,Reactive,Reactive,Negative,Reactive,Reactive,Abnormal,FIT
Zain,Rashid,Female,8/1/1984,PK858492,Pakistani,151.6,90.1,140/90,93.3,,Normal,Abnormal,No Hernia,Swollen,Rashes,Abnormal,,Murmur,Normal,Normal,Negative,Positive,12.3,4.6,5.4,Non-Reactive,Reactive,Negative,Reactive,Non-Reactive,Abnormal,FIT
Ali,Iqbal,Male,3/13/1989,PK884023,Pakistani,169.3,54.4,120/80,80.1,Weak,Abnormal,Normal,No Hernia,Normal,Rashes,Abnormal,Blocked,Normal,Enlarged,Enlarged,Positive,Positive,13.1,10.7,4.1,Reactive,Reactive,Positive,Reactive,Non-Reactive,Abnormal,UNFIT
Zain,Noman,Female,11/11/1996,PK661805,Pakistani,157.1,94.2,120/80,84.3,Normal,Abnormal,Normal,Minor Hernia,Normal,Clear,Abnormal,Clear,Normal,Normal,Enlarged,Negative,Negative,14.5,6.8,5.1,Reactive,Reactive,Negative,Reactive,Non-Reactive,CLEAR,FIT
Ahmed,Noman,Male,4/14/1996,PK847152,Pakistani,168.5,71.5,120/80,73.5,Weak,Abnormal,Abnormal,No Hernia,Swollen,Rashes,Normal,Clear,Murmur,Enlarged,Normal,Negative,Negative,16.7,5,5.8,Non-Reactive,Non-Reactive,Positive,Reactive,Non-Reactive,Abnormal,UNFIT
Zain,Rauf,Male,11/13/1983,PK572845,Pakistani,187.7,92.2,120/80,81.2,Weak,Normal,Abnormal,No Hernia,Swollen,Rashes,Normal,Clear,Normal,Enlarged,Enlarged,Positive,,17.4,9.3,4.2,Non-Reactive,Non-Reactive,Positive,Non-Reactive,Non-Reactive,CLEAR,FIT
Khan,Rashid,Female,8/3/1985,,Pakistani,150.9,69.5,140/90,67.6,Weak,Abnormal,Abnormal,,Normal,Rashes,Normal,,Normal,Normal,Enlarged,Positive,,14,9.2,5.4,Reactive,Non-Reactive,Positive,Reactive,Non-Reactive,Abnormal,FIT
Ali,Rauf,Female,11/11/2002,PK959222,Pakistani,158.8,,140/90,96.4,Normal,Normal,Abnormal,Minor Hernia,Swollen,Clear,Abnormal,Clear,Murmur,Normal,Normal,Positive,Negative,12.9,7,4.5,Reactive,Non-Reactive,Positive,Non-Reactive,Non-Reactive,CLEAR,UNFIT
Ahmed,Ashraf,Female,8/9/1992,PK826438,Pakistani,180.8,,130/85,74,Weak,Normal,Normal,,Swollen,Clear,Normal,,Murmur,Enlarged,Enlarged,,Positive,14.9,8.9,4.4,Reactive,Non-Reactive,Positive,Reactive,Non-Reactive,CLEAR,UNFIT
Zain,Noman,,12/9/1994,PK298762,Pakistani,153.4,81.5,120/80,92.6,Weak,,Abnormal,Minor Hernia,Normal,Clear,Normal,Blocked,Normal,Enlarged,Enlarged,Positive,Positive,13.8,10,6,Non-Reactive,Reactive,Negative,Reactive,Reactive,Abnormal,FIT
Ahmed,Iqbal,Male,5/22/1994,PK692320,Pakistani,172.2,73.5,140/90,70,Normal,,Normal,No Hernia,Normal,Clear,Abnormal,Clear,Murmur,Enlarged,Enlarged,Positive,Negative,12.6,5.9,4.4,Non-Reactive,Reactive,Negative,Reactive,,CLEAR,UNFIT
Khan,Rashid,Male,9/30/1989,PK728959,Pakistani,150.5,68.7,130/85,89.5,Normal,Normal,Normal,Minor Hernia,Swollen,Clear,Abnormal,Blocked,Murmur,Normal,Normal,Negative,Negative,16.8,9.9,4.8,Non-Reactive,Non-Reactive,Negative,Reactive,Non-Reactive,Abnormal,FIT
Zain,Rashid,Female,1/3/1991,PK796159,Pakistani,159.2,48.9,130/85,60.2,Normal,Normal,Abnormal,No Hernia,Normal,,Normal,Clear,Normal,Normal,Normal,Negative,Negative,12.6,4.9,4.8,Reactive,Reactive,Negative,Reactive,Reactive,CLEAR,UNFIT
Zain,Rauf,Male,4/8/1995,PK920479,Pakistani,155.4,70,130/85,96.4,,Abnormal,Abnormal,Minor Hernia,Normal,Rashes,Abnormal,Blocked,Normal,Normal,Enlarged,Negative,Negative,16.5,10.2,,Non-Reactive,Non-Reactive,Positive,Reactive,Reactive,CLEAR,FIT
Zain,Rauf,Male,,PK842208,Pakistani,168,62.6,110/70,94.1,Normal,Abnormal,Normal,Minor Hernia,Swollen,Rashes,Normal,Clear,Murmur,Enlarged,Normal,Negative,Positive,14.2,9.4,6,Non-Reactive,Non-Reactive,Positive,Reactive,Non-Reactive,Abnormal,FIT
Khan,Rashid,Male,2/8/2000,PK822670,Pakistani,,57.7,130/85,88.8,Weak,Abnormal,Normal,Minor Hernia,Swollen,Clear,Normal,Blocked,Murmur,Enlarged,Normal,Negative,Positive,15.8,9.3,5.8,Non-Reactive,Reactive,Negative,Non-Reactive,Reactive,Abnormal,UNFIT
,Iqbal,Male,6/23/1984,PK991981,Pakistani,180.6,64.8,130/85,64.7,Weak,Normal,Abnormal,Minor Hernia,Normal,Clear,Normal,Clear,Normal,Normal,Enlarged,Negative,Negative,13.1,5.2,4.9,Non-Reactive,Reactive,Positive,Non-Reactive,Non-Reactive,Abnormal,UNFIT
Zain,Rashid,Male,5/22/1993,PK389517,Pakistani,155.7,94.5,120/80,75,,Abnormal,Normal,No Hernia,Normal,Rashes,Normal,Blocked,Normal,Enlarged,Normal,Negative,Negative,17.7,7.5,4.6,Non-Reactive,Non-Reactive,Negative,Reactive,Non-Reactive,Abnormal,FIT
Imran,Noman,Male,11/8/2000,PK754192,Pakistani,165.7,70.3,,84.1,Normal,Normal,Normal,Minor Hernia,Swollen,Rashes,Abnormal,Clear,Murmur,Enlarged,Normal,,Positive,16.4,6.5,5.9,Reactive,Reactive,Negative,Reactive,Reactive,Abnormal,
Imran,Rashid,Male,12/22/1981,PK868710,Pakistani,165.7,67.9,130/85,61,Normal,Normal,,No Hernia,Swollen,Clear,Normal,Blocked,Normal,Normal,Normal,Positive,Positive,12.5,6.3,4.7,Non-Reactive,Non-Reactive,Negative,Reactive,Non-Reactive,CLEAR,FIT
Ahmed,Ashraf,Male,4/16/1996,,Pakistani,177.5,79.9,130/85,74.8,Normal,Abnormal,Normal,Minor Hernia,Swollen,Rashes,Abnormal,Clear,Murmur,Normal,Normal,Negative,Positive,14.1,8.7,,Non-Reactive,Reactive,Positive,Non-Reactive,Non-Reactive,Abnormal,FIT
Ali,Iqbal,Female,7/11/1987,PK140301,Pakistani,181.1,56.6,140/90,84.7,Weak,Abnormal,Normal,Minor Hernia,Normal,Rashes,Abnormal,Clear,Normal,Normal,Enlarged,,Positive,16.1,7.2,4.7,Reactive,Non-Reactive,Positive,Non-Reactive,Reactive,Abnormal,FIT
